02-24 17:05:14.963 27799 27814 I TestRunner: started: mst_Operations(com.example.testtab.Tab_Settings)
02-24 17:05:14.976   733 28804 I AccessibilityManagerService: semIsAccessibilityServiceEnabled()
02-24 17:05:14.976   733 28804 I AccessibilityManagerService: accesibilityService is null
02-24 17:05:14.979   733   733 I AccessibilityManagerService: semIsAccessibilityServiceEnabled()
02-24 17:05:14.979   733   733 I AccessibilityManagerService: accesibilityService is null
02-24 17:05:14.980   733   866 D SamsungPhoneWindowManager: updateSettings(). settings changed. doubleTapLaunchBehavior : 0. mDoubleTapLaunchBehavior : 0. mDoubleTapLaunchUser 0
02-24 17:05:14.985   733  2202 I AccessibilityManagerService: semIsAccessibilityServiceEnabled()
02-24 17:05:14.985   733  2202 I AccessibilityManagerService: accesibilityService is null
02-24 17:05:14.985   733  1712 I AccessibilityManagerService: semIsAccessibilityServiceEnabled()
02-24 17:05:14.985   733  1712 I AccessibilityManagerService: accesibilityService is null
02-24 17:05:14.986  1636  1636 D vol.SecVolumeDialog: onAccessibilityStateChanged: mIsTalkbackEnabled : false
02-24 17:05:14.997   733  2698 I AccessibilityManagerService: semIsAccessibilityServiceEnabled()
02-24 17:05:14.998   733  2698 I AccessibilityManagerService: accesibilityService is null
02-24 17:05:15.034 22569 22575 I art     : Do partial code cache collection, code=30KB, data=30KB
02-24 17:05:15.036 22569 22575 I art     : After code cache collection, code=28KB, data=30KB
02-24 17:05:15.036 22569 22575 I art     : Increasing code cache capacity to 128KB
02-24 17:05:15.489 29982 29982 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.clearcut.bootcount.service.START pkg=com.google.android.gms launchParam=MultiScreenLaunchParams { mDisplayId=0 mBaseDisplayId=0 mFlags=0 } }
02-24 17:05:15.500   733  2698 D InputDispatcher: Inject key (27782): action=0, eventTime=140841648000000
02-24 17:05:15.500   733  2698 D InputManager-JNI: !@interceptKeyBeforeQueueing(0), action=0, interactive=true
02-24 17:05:15.503   733  2698 D InputManager-JNI: !@handleInterceptActions(0), action=0, wmActions=1
02-24 17:05:15.514   733  2696 D InputDispatcher: Inject key (27782): action=1, eventTime=140841648000000
02-24 17:05:15.514   733  2696 D InputManager-JNI: !@interceptKeyBeforeQueueing(0), action=1, interactive=true
02-24 17:05:15.516   733  2696 D InputManager-JNI: !@handleInterceptActions(0), action=1, wmActions=1
02-24 17:05:15.529  1636  1757 D vol.VolumeDialogControl: onReceive ACTION_CLOSE_SYSTEM_DIALOGS
02-24 17:05:15.530  1636  1636 D vol.SecVolumeDialog: dismissH reason: 2
02-24 17:05:15.531  1636  1636 D vol.SecVolumeDialog: dismissH : false
02-24 17:05:15.531   733   733 D InputMethodManagerService: isImeSwitcherDisabledPackage : false
02-24 17:05:15.531  1636  1636 D PopupUI : PopupUIReceiver.onReceive() action : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:15.531  1636  1636 D PopupUI.PopupUINotifications: dismissAlertDialogs()
02-24 17:05:15.531  1636  1636 D ToggleSlider: onReceive : android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:15.532  1636  1897 D LocationControllerImpl: onReceive   android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:15.533   733  1450 D PackageManager: resolving Home intent, isUnlockingOrUnlocked : true
02-24 17:05:15.534  1636  1636 D Tile.MobileDataTile: action:android.intent.action.CLOSE_SYSTEM_DIALOGS
02-24 17:05:15.537  1636  1636 I StatusBarWindowManager: isExpanded:true, false, false, false, false, false
02-24 17:05:15.537  1636  1636 I StatusBarWindowManager: applyHeight:27
02-24 17:05:15.537  1636  1636 I StatusBarWindowManager: isExpanded:true, false, false, false, false, false
02-24 17:05:15.550   733  1450 D PackageManager: resolving Home intent, isUnlockingOrUnlocked : true
02-24 17:05:15.555  2660  2660 V Launcher: Launcher.onPause()
02-24 17:05:15.556  2660  2660 D Launcher: setHotWordDetection : call requestHotwordDetection false
02-24 17:05:15.577  2660  2660 D Launcher: onNewIntent
02-24 17:05:15.578  2660  2660 D InputMethodManager: HSIFW - flag : 0 Pid : 2660
